Year,GDP,TaxRev,Population,Exports,Imports,GrossDomSavg,GrossConsump,AgriOutput,LbrFrce,ExchRate,InfRte,IntPen,UnEmpRte,EmpRte
31/12/1960,"6,102,055,383",,"7,751,435","246,049,901","266,419,907","135,645,848",,"279,691,874",,7.14,1.24%,,,
31/12/1961,"5,627,642,856",,"8,047,470","259,433,896","246,847,901","133,041,863",,"270,185,892",,7.14,2.46%,,,
31/12/1962,"6,159,869,229",,"8,363,578","278,123,875","261,519,895","142,939,845",,"326,185,869",,7.14,3.12%,,,
31/12/1963,"6,700,603,507",,"8,697,200","296,813,881","268,365,892","148,343,815",,"356,271,857",,7.14,0.70%,,,
31/12/1964,"7,033,252,776",,"9,047,387","333,479,880","291,759,883","172,199,777","957,039,518","367,863,839",,7.14,-0.10%,,,
31/12/1965,"7,174,557,448",,"9,417,207","313,319,874","306,319,877","150,639,800","990,919,477","323,511,870",,7.14,3.58%,,,
31/12/1966,"8,231,266,905",,"9,802,605","377,439,849","359,519,856","234,640,326","1,146,599,260","404,179,838",,7.14,5.01%,,,
31/12/1967,"8,507,938,885",,"10,201,068","350,839,859","362,039,855","237,439,625","1,243,759,781","414,847,834",,7.14,1.76%,,,
31/12/1968,"9,187,101,269",,"10,613,877","397,879,841","396,479,841","272,720,031","1,351,895,318","429,071,828",,7.14,0.37%,,,
31/12/1969,"9,918,323,281",,"11,039,551","430,639,827","409,639,836","303,520,018","1,437,379,284","450,603,819",,7.14,-0.17%,,,
31/12/1970,"9,456,581,005",,"11,473,087","478,239,808","491,679,803","377,747,989","1,616,887,212","483,755,806",,7.14,2.19%,,,
31/12/1971,"11,553,473,057",,"11,898,457","509,319,796","625,800,030","308,840,017","1,894,871,103","500,835,800",,7.14,3.78%,,,
31/12/1972,"13,527,086,930",,"12,322,903","560,279,776","605,359,758","425,599,830","2,151,967,140","678,774,329",,7.14,5.83%,,,
31/12/1973,"14,324,722,461",,"12,760,405","687,311,708","719,305,975","615,609,486","2,540,995,983","799,806,843",,7,9.28%,,,
31/12/1974,"14,907,110,862",,"13,203,949","1,000,159,880","1,214,639,514","550,479,780","3,184,410,727","929,571,628",,7.14,17.81%,,,
31/12/1975,"15,038,621,868",,"13,651,908","972,056,798","1,124,851,495","438,501,188","3,412,085,446","983,441,355",,7.34,19.12%,,,
31/12/1976,"15,362,548,445",,"14,102,268","1,127,505,380","1,103,363,095","727,368,654","3,450,567,667","1,157,957,822",,8.37,11.45%,,,
31/12/1977,"16,814,892,718",,"14,577,346","1,571,184,005","1,419,913,444","1,220,071,985","4,340,522,800","1,663,227,067",,8.28,14.82%,,,
31/12/1978,"17,977,221,092",,"15,087,423","1,534,663,179","2,051,910,135","1,060,188,070","5,823,491,741","1,700,601,385",,7.73,16.93%,,,
31/12/1979,"19,346,227,115",,"15,620,613","1,605,552,324","1,970,754,610","1,016,145,263","6,348,714,006","1,881,928,852",,7.48,7.98%,,,
31/12/1980,"20,428,063,532",,"16,187,124","2,144,500,527","2,608,235,978","1,320,182,543","7,725,653,834","2,019,086,445",,7.42,13.86%,,,
31/12/1981,"21,198,925,537",,"16,785,962","2,087,869,962","2,318,209,877","1,348,660,099","7,076,431,257","1,910,583,386",,9.05,11.60%,,,
31/12/1982,"21,518,282,741",,"17,411,491","1,714,496,080","2,029,695,253","1,161,796,596","6,675,739,827","1,863,009,936",,10.92,20.67%,,,
31/12/1983,"21,799,967,874",,"18,069,461","1,551,597,960","1,686,897,689","1,221,793,159","6,008,556,501","1,785,912,199",,13.31,11.40%,,,
31/12/1984,"22,182,604,611",,"18,753,176","1,656,202,770","1,984,603,544","1,138,811,041","6,279,213,605","1,827,086,748",,14.41,10.28%,,,
31/12/1985,"23,136,581,235",,"19,452,161","1,552,098,224","1,849,498,225","1,490,651,539","6,198,069,431","1,755,002,145",,16.43,13.01%,,,
31/12/1986,"24,797,222,169",,"20,160,879","1,871,195,192","2,163,994,344","1,575,100,881","7,239,841,630","2,083,245,296",,16.23,2.53%,,,
31/12/1987,"26,269,459,892",,"20,882,094","1,698,200,957","2,104,101,069","1,528,640,356","8,378,247,277","2,165,803,765",,16.45,8.64%,,,
31/12/1988,"27,899,002,778",,"21,626,122","1,869,200,100","2,306,399,998","1,675,438,804","8,806,306,382","2,133,981,327",,17.75,12.26%,,,
31/12/1989,"29,207,563,312",,"22,387,803","1,907,852,235","2,495,151,434","1,081,635,001","9,260,834,040","2,150,612,307",,20.57,13.79%,,,
31/12/1990,"30,431,959,253",,"23,162,269","2,202,462,462","2,685,575,057","1,625,996,147","9,017,795,848","2,170,018,431","8,597,324",22.91,17.78%,,,
31/12/1991,"30,869,676,363",,"23,918,235","2,204,295,652","2,327,744,619","1,607,007,219","8,253,890,851","1,982,454,174","8,920,637",27.51,20.08%,,3.28,8.16
